Publication.Number;Publication.Year;IPC;Main.IPC.Subclass;Simple.Family;Count.of.Simple.Family.Members;Simple.Family.Cited.by.Count;Count.of.Other.References;Count.of.Cited.by.Patents;Count.of.Cites.Patents;Count.of.Cited.by.Patents.Within.3.years;Count.of.Cited.by.Patents.Within.5.years;Simple.Legal.Status;Count.of.claims;Quality.of.Family;Classifier
US10173777;2019;B64C39/00 | B64C39/02 | B64D5/00 | G05D1/00 | B64C27/08 | B64C11/00;B64C;US10173777 | US9630712;2;5;0;0;9;0;0;Active;42;High;Strong
US8777150;2014;B64C27/22 | B64C15/12 | B64C27/52 | B64C29/00 | B64C39/00;B64C;CN102897315A | EP2551193A1 | EP2551193B1 | JP2013032146A | KR101958246B1 | KR1020130014453A | RU2012132335A | US20130026305A1 | US8777150;9;47;0;10;11;8;8;Active;6;High;Strong
US7177939;2007;G06F15/16 | B64C39/00 | H04B7/185 | H04L12/28 | H04L12/56 | H04W84/02 | H04W84/06;G06F;US20030041155A1 | US20050220055A1 | US20120303826A1 | US7177939 | US8250221 | US8578037 | WO2002103931A1;7;191;3;62;93;23;29;Active;15;High;Strong
EP2577229B1;2018;G01C21/00 | B64C39/00 | G06T15/00 | G09B9/36;G01C;AU2011256984A1 | AU2011256984B2 | EP2577229A1 | EP2577229B1 | US20130063435A1 | US9091547 | WO2011148199A1;7;15;0;0;4;0;0;Active;42;High;Strong
US8648509;2014;B64D27/24 | B64C17/00 | B64C29/00;B64D;BRPI0615749A2 | CA2621672A1 | CA2621672C | CN101496260A | CN101496260B | EP1942846A2 | EP1942846A4 | IL190109A | IL190109D0 | JP2009510979A | US20070062543A1 | US20100116924A1 | US7825554 | US8648509 | WO2007035228A2 | WO2007035228A3;16;25;22;1;46;1;1;Active;23;High;Strong
US9156550;2015;B64C39/06 | B64C3/00 | B64C39/00 | B64C3/56 | B64C11/00 | B64C3/32 | B64C21/04 | B64C37/00;B64C;JP2015151128A | JP6039714B2 | US20150232180A1 | US9156550;4;9;0;4;58;0;0;Active;20;High;Strong
US7934677;2011;B64C27/22 | B64C39/00;B64C;US20080283669A1 | US20090095844A1 | US20090095845A1 | US20110168847A1 | US7461817 | US7934677 | US7934683 | US8052091;8;26;0;2;8;2;2;Active;8;High;Strong
US8448905;2013;B64C23/02;B64C;AT466766T | AU2007232413A1 | AU2007232413B2 | CA2682372A1 | CA2682372C | CN101405182A | CN101405182B | DE602007006292D1 | EP2004484A2 | EP2004484B1 | EP2004484B8 | GB0606518D0 | IL194268A | US20110101173A1 | US8448905 | WO2007113525A2 | WO2007113525A3;17;28;0;2;9;1;2;Active;20;High;Strong
US6819982;2004;B64C13/00 | B64C13/20 | B64D39/00 | B64C39/00 | B64C39/02 | G08G5/04 | G01C21/28;B64C;DE60318540D1 | DE60318540T2 | EP1424283A1 | EP1424283B1 | US20040102876A1 | US6819982;6;122;0;72;10;29;41;Active;50;High;Strong
US7735773;2010;B64C39/08 | B64C29/00 | B64C39/00;B64C;AT402071T | AU2003287751A1 | CA2510225A1 | CA2510225C | CN1738743A | CN1738743B | DE50310211D1 | DK1575828T3 | EP1575828A1 | EP1575828B1 | ES2311115T3 | KR101152703B1 | KR1020050098232A | PT1575828E | SI1575828T1 | US20050274843A1 | US7735773 | WO2004054875A1;18;16;0;6;17;4;5;Active;24;High;Strong
US6892982;2005;B64C9/00 | B64C39/10 | B64C1/00 | B64C5/08 | B64D7/00 | B64C5/00 | B64C39/00 | B64C9/32;B64C;AT346791T | AU2003304182A1 | BRPI0318083A2 | CA2514825A1 | DE60310138D1 | DE60310138T2 | EP1587734A1 | EP1587734B1 | IL169894D0 | JP2006514591A | KR1020050095907A | US20040144893A1 | US20060102802A1 | US6892982 | US7448578 | WO2004108526A1;16;38;1;18;49;11;11;Active;16;High;Strong
US9475575;2016;B64C27/26 | B64D5/00 | B64C39/02 | B64C39/00 | B64C29/02 | B64C37/02 | B64C27/28 | B64C29/00;B64C;US20150115096A1 | US8950698 | US9475575;3;46;0;0;12;0;0;Active;20;High;Strong
US6840477;2005;B64C33/00 | B64C33/02 | B64C39/00 | B64C39/02 | B25J5/00 | H02N2/00;B64C;JP2002326599A | JP3889956B2 | US20020117583A1 | US20050151010A1 | US6840477;5;61;0;20;17;4;4;Active;19;High;Strong
US9630713;2017;B64C15/00 | B64C19/00 | B64C39/00 | B64C39/02 | B64C25/52 | B64D47/08;B64C;CN108367806A | CN108367806B | EP3390225A1 | TW201728504A | TWI609818B | US9630713 | WO2017105629A1;7;20;1;18;19;15;15;Active;28;High;Strong
US20180194339A1;2018;B60V3/04 | B61B13/12 | B60V1/00 | B64C39/00 | B60V1/04 | B64C39/02;B60V;AU2012363091A1 | AU2012363091B2 | AU2017204065A1 | AU2017204065B2 | BR112013026464A2 | CA2831472A1 | EP2697107A1 | EP2697107B1 | ES2554453T3 | HK1193583A1 | US20120265393A1 | US20160046275A1 | US20180194339A1 | US9180856 | US9937912 | WO2013101278A1;16;3;0;0;0;0;0;Pending;21;High;Strong
US9580171;2017;B64C27/00 | B64C29/00 | B63H1/34 | B64C39/00 | B64C37/00 | B60F5/02;B64C;EP2858894A1 | EP2858894A4 | US20140021291A1 | US20150274291A1 | US20160362179A1 | US9061762 | US9315266 | US9580171 | WO2013188285A1;9;5;5;0;33;0;0;Active;33;High;Strong
GB2468787B;2013;B64C29/00 | B64C27/04 | B64C27/08 | B64C27/22 | B64C39/00;B64C;GB0904875D0 | GB201004752D0 | GB2468787A | GB2468787B | US20120056040A1 | US20160009388A1 | US9096314 | WO2010106343A2 | WO2010106343A3;9;92;0;0;10;0;0;Active;2;High;Strong
EP1224117B1;2004;B64C29/00 | B64C39/00 | B64C39/06 | B64D27/24 | B64D31/12;B64C;AT258133T | AU2000076809A1 | AU765314B2 | CA2389008A1 | CA2389008C | CN1171759C | CN1384793A | DE60007887D1 | DE60007887T2 | EP1224117A1 | EP1224117B1 | ES2211621T3 | JP2003512253A | JP4603222B2 | RU2002113662A | RU2250181C2 | WO2001030652A1;17;34;0;0;6;0;0;Active;47;Low;Strong
US10053216;2018;B64C39/00 | F03D5/00 | B64C39/02 | B64C31/06 | F03D9/25 | B64F3/00;B64C;BR112015005849A2 | CN104838133A | CN104838133B | DK2895740T3 | EP2895740A1 | EP2895740B1 | ES2616439T3 | HRP20170239T1 | PL2895740T3 | PT2895740T | US10053216 | US20150225080A1 | WO2014040747A1 | WO2014040747A8;14;5;0;0;42;0;0;Active;10;High;Strong
GB2544944A;2017;H04W16/28 | B64C39/00 | B64D35/02 | G08G5/00 | H01Q1/28 | H04W36/12;H04W;AU2015361236A1 | BR112017003985A2 | CA2996844A1 | CN107211287A | EP3186998A1 | EP3186998A4 | GB201705048D0 | GB2544944A | JP2017527059A | US20160236790A1 | US20180134400A1 | US9561860 | WO2016093905A1;13;33;1;0;6;0;0;Pending;74;High;Strong
US9598171;2017;B64C37/00 | B64C39/02 | B64C39/00 | B60B1/00 | B60F5/02;B64C;CA2787279A1 | CA2787279C | US20140061362A1 | US20160257400A1 | US8991740 | US9598171;6;92;1;1;22;0;0;Active;4;High;Strong
WO2017096478A1;2017;B64C39/00 | A63H27/127 | A63H27/24 | A63H27/30 | B64C27/20;B64C;CN108602559A | US10035591 | US10239611 | US20170233069A1 | US20180099742A1 | US20180305008A1 | US9873508 | WO2017096478A1;8;8;0;3;2;3;3;Undetermined;18;High;Strong
US9120579;2015;B64D31/06 | G05D1/06 | B64C39/00 | G05D1/00 | B64C11/00;B64D;EP2840022A1 | EP2840022B1 | US20150053824A1 | US9120579;4;6;1;0;16;0;0;Active;9;High;Strong
EP2517767B1;2014;A63H27/127 | A63H30/04 | A63H15/06 | B64C39/00;A63H;AU2012202428A1 | AU2012202428B2 | CA2775429A1 | EP2517767A2 | EP2517767A3 | EP2517767B1 | IL219466A | IL219466D0 | JP2012232735A | JP6125152B2;10;12;0;0;3;0;0;Active;25;Low;Strong
US10018475;2018;G01C21/20 | G01C21/36 | G01C21/34 | B64C39/00 | B64C39/02;G01C;CN107806884A | DE102017120707A1 | GB201714320D0 | GB2555221A | MX2017011583A | RU2017131064A | RU2017131064A3 | RU2686159C2 | US10018475 | US20180073879A1;10;3;2;0;27;0;0;Active;11;High;Strong
RU2016137075A;2018;B64C39/00;B64C;CN106850396A | EP3144865A1 | RU2016137075A | US10003562 | US20170078231A1;5;1;0;0;0;0;0;Pending;45;High;Strong
CA2815885C;2018;B64C27/50 | B64C11/28 | B64C25/10 | B64C27/08 | B64C39/00;B64C;CA2815885A1 | CA2815885C | CA2997790A1 | US20140339355A1 | US9260184;5;93;0;0;0;0;0;Active;11;High;Strong
US9676480;2017;B64C39/00 | G05D1/10 | B64C27/06 | B64C39/02 | G05D1/00 | B64C27/08 | F24S50/20;B64C;CN106043676A | CN106043676B | CN205186521U | TW201636084A | TWI528989B | US20160299504A1 | US9676480;7;11;0;0;12;0;0;Active;10;High;Strong
US6422509;2002;B64C27/00 | B64C13/00 | B64C27/10 | B64C13/16 | B64C39/02 | B64C39/00 | A63H27/127 | A63H27/133 | A63H30/04 | F41G7/00 | F42B10/00 | F42B15/01 | G06F19/00 | A63H27/00;B64C;DE60100781D1 | DE60100781T2 | EP1209546A1 | EP1209546B1 | JP2002191873A | JP4028717B2 | US6422509;7;32;1;26;15;2;3;Active;22;High;Strong
TW201726496A;2017;B64C39/00 | B64C31/028 | B64C17/00 | G01C5/06;B64C;CN108474656A | CN108474656B | EP3397922A1 | TW201726496A | US10041792 | US20170191829A1 | WO2017116538A1;7;0;0;0;0;0;0;Inactive;30;High;Strong
US9511857;2016;B64C39/00 | B64C29/00 | B64C27/605 | B64C27/08 | B64C27/20;B64C;CN102602539A | CN102602539B | US20150203199A1 | US9511857 | WO2013149534A1;5;5;2;0;8;0;0;Active;7;High;Strong
US8909391;2014;G06Q10/00 | G05D1/00;G06Q;US8909391 | US9671781;2;86;3;86;21;70;75;Active;25;High;Strong
US6845937;2005;B64C39/06 | B64D1/00 | B64C39/12 | B64D1/06 | B64C5/00 | B64C5/12 | B64C39/00 | B64C39/02 | F42B10/16 | F42B10/62 | F42B12/58 | F42B12/62 | F42B15/00 | B64C37/02;B64C;US20040108410A1 | US20040108411A1 | US6749153 | US6845937;4;17;1;5;18;3;3;Active;25;High;Strong
US6840478;2005;B64C39/06 | B64C3/46 | B64C39/00 | B64C3/00 | B64C3/38 | B64C39/12;B64C;AU2003216050A1 | AU2003216050B2 | CA2474121A1 | CA2474121C | EP1472136A2 | EP1472136A4 | NO20043073L | NO321279B1 | US20030201363A1 | US20070164147A1 | US6840478 | US7258302 | WO2003059736A2 | WO2003059736A3;14;43;0;9;37;3;4;Active;13;High;Strong
JP4155081B2;2008;B64C | B64C25/56 | B64C39/00 | B64C39/02 | B64C27/00 | B64C27/20 | B64C25/58 | B64D25/02 | B64D | B64C29/00;B64C;JP2004306668A | JP4155081B2 | US20050151002A1 | US6969027;4;44;0;0;0;0;0;Active;29;High;Strong
US8727265;2014;B64C27/82 | B64C27/00;B64C;EP2511177A1 | EP2511177B1 | US20120256042A1 | US8727265;4;37;1;9;15;8;9;Active;16;High;Strong
US9529358;2016;A63H30/04 | H04L12/40 | B64C39/00 | G05D1/00 | B64C39/02;A63H;CN104470602A | CN104470602B | DE112013005288B4 | DE112013005288T5 | US20150301528A1 | US9529358 | WO2014074046A1;7;11;11;0;19;0;0;Active;19;High;Strong
CN103144770B;2015;B64C39/00;B64C;CN103144770A | CN103144770B;2;26;0;0;6;0;0;Active;8;Low;Strong
US9080450;2015;B64C33/00 | F01D5/12 | B64C39/00 | B64D27/02 | B64D27/24;B64C;DE102011122071A1 | DE102011122071B4 | US20130164130A1 | US9080450;4;4;3;3;43;3;3;Inactive;20;High;Strong
CN103342166B;2015;B64C39/00 | G09B25/00 | E04B1/344;B64C;CN103342166A | CN103342166B;2;8;0;0;3;0;0;Active;21;Low;Strong
US9802702;2017;B64C39/00 | B64C39/02;B64C;US9422055 | US9802702;2;6;0;0;9;0;0;Active;20;High;Strong
US9440714;2016;B63B35/73 | B64C39/00 | B63B9/00 | B63H11/04 | B63H21/22 | B63H23/26 | B63H11/107 | B63H11/00;B63B;US20150360755A1 | US20170050730A1 | US9145206 | US9440714;4;17;0;5;14;2;2;Active;16;High;Strong
US9723468;2017;H04W4/00 | H04B17/309 | B64F1/10 | G05D1/10 | B64C39/02 | G01S19/13 | H04W4/22 | B64C39/00 | G01S19/17 | H04W64/00 | B64D47/08;H04W;CN106549699A | KR101780281B1 | KR1020170035560A | US20170086048A1 | US9723468;5;4;0;1;21;1;1;Active;19;High;Strong
US10118687;2018;B64C3/10 | B64C9/00 | B64C39/02;B64C;US10059428 | US10118687 | US20180043984A1;3;0;0;0;13;0;0;Active;20;High;Strong
